51059	1170883
51153	506264
51810	465914
51107	453554
51041	379041
51087	342624
51550	257585
51013	247949
51710	236565
51760	233330
51700	187906
51179	165318
51510	165317
51177	145324
51650	137061
51003	116421
51085	113015
51121	101320
51770	100905
51740	98629
51161	98294
51800	97246
51069	95352
51165	85989
51019	82699
51095	81626
51680	80041
51015	78609
51061	75303
51199	71419
51143	59601
51031	55951
51047	54310
51067	53973
51191	53653
51660	52684
51089	49988
51540	47477
51149	45194
51171	44843
51683	44257
51590	42452
51187	41672
51093	39608
51073	39266
51185	39034
51109	38928
51137	37085
51195	34534
51730	33770
51023	33731
51001	33488
51155	33479
51083	33356
51033	31589
51145	31020
51009	30992
51117	29596
51630	29092
51173	29077
51035	28888
51840	28696
51197	28008
51053	27932
51065	27717
51099	27665
51790	26350
51075	25630
51775	25508
51167	24845
51600	24620
51127	24301
51139	23610
51670	23165
51163	22752
51820	22553
51147	21393
51079	21197
51105	21150
51169	21096
51027	19233
51193	18783
51570	18398
51101	18374
51685	18104
51175	17825
51141	17344
51520	17033
51029	16728
51071	16637
51011	16464
51750	15968
51830	15833
51135	15579
51063	15536
51025	15375
51610	15357
51077	15273
51043	15008
51005	14914
51125	14703
51113	13996
51051	13590
51007	13439
51690	13383
51735	12553
51131	12249
51133	11692
51111	11642
51037	11211
51081	11136
51103	10778
51119	10526
51183	10451
51057	10434
51049	9561
51159	8824
51115	8401
51620	8060
51678	7404
51157	7342
51530	6638
51036	6629
51640	6624
51097	6506
51181	6411
51021	6105
51595	5718
51580	5671
51045	4802
51017	4053
51720	3606
51091	2205
